date,march,police,twenty-nine,two thousand and twenty-one,one,fight,monday,people,would,#unitedkingdom,#free,bristol,get,us,day,like,today,#foodwaste,good,back,thirty,tuesday,time,fighting,two,#bristol,women,protest,vigil,@metpoliceuk,last,peaceful,right,violence,met,woman,men,need,bill,think,protests,ireland,see,attack,know,going,well,@aspolice,#attackthebok,scenes,scene,government,new,rights,#policingbill,#righttoprotest,sunday,twenty-eight,planning,application,registered,london,nw1,road,consent,building,listed,thirty-one,still,officer,@policescotland,@nicolasturgeon,#killthebill,go,great,eleven,attacked,tonight,petition,#internationalwomensday,happy,international,easter,really,dog,friday,twenty-six,covid,lockdown,year,twenty-three,twenty-five,thursday,wednesday,twenty-four,three,many,1st,month,first,week,four,five,arrested,ten,twelve
2021-03-01,1458.0,210.0,1.0,133.0,312.0,165.0,1.0,149.0,1.0,1.0,1.0,1.0,167.0,164.0,398.0,164.0,161.0,1.0,163.0,1.0,1.0,1.0,134.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,212.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,260.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,267.0,226.0,128.0,120.0,1.0,1.0,1.0,1.0,1.0
2021-03-02,734.0,189.0,1.0,116.0,189.0,190.0,1.0,98.0,157.0,83.0,83.0,102.0,130.0,118.0,174.0,132.0,1.0,1.0,1.0,112.0,1.0,1.0,97.0,92.0,157.0,100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,104.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-03-03,752.0,226.0,1.0,117.0,178.0,206.0,1.0,1.0,158.0,112.0,112.0,1.0,136.0,128.0,175.0,147.0,1.0,1.0,110.0,1.0,1.0,1.0,157.0,118.0,148.0,1.0,1.0,1.0,1.0,1.0,156.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,107.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,128.0,106.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-03-04,698.0,174.0,1.0,126.0,156.0,235.0,1.0,106.0,150.0,108.0,108.0,1.0,120.0,134.0,178.0,116.0,1.0,98.0,1.0,101.0,1.0,1.0,138.0,1.0,95.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,93.0,123.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,96.0,1.0,1.0,1.0,1.0
2021-03-05,640.0,201.0,1.0,1.0,211.0,178.0,1.0,135.0,148.0,118.0,118.0,1.0,144.0,123.0,148.0,118.0,1.0,108.0,102.0,117.0,1.0,1.0,108.0,100.0,122.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,116.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,99.0,1.0,1.0,1.0
2021-03-06,587.0,229.0,1.0,122.0,207.0,237.0,1.0,124.0,150.0,1.0,1.0,103.0,150.0,123.0,124.0,126.0,145.0,1.0,1.0,104.0,1.0,1.0,105.0,1.0,102.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,101.0,119.0,1.0,1.0,1.0,1.0,172.0,153.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-03-07,576.0,461.0,1.0,1.0,222.0,379.0,1.0,173.0,193.0,1.0,1.0,1.0,186.0,153.0,137.0,193.0,200.0,1.0,140.0,131.0,1.0,1.0,1.0,127.0,135.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,150.0,140.0,1.0,1.0,1.0,1.0,1.0,131.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,216.0,158.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-03-08,516.0,360.0,1.0,124.0,204.0,233.0,1.0,168.0,193.0,1.0,1.0,1.0,122.0,156.0,303.0,147.0,194.0,1.0,1.0,138.0,1.0,1.0,1.0,123.0,1.0,1.0,312.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,120.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,132.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,176.0,148.0,122.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-03-09,527.0,231.0,1.0,120.0,179.0,175.0,1.0,130.0,129.0,84.0,1.0,1.0,109.0,129.0,115.0,133.0,101.0,1.0,1.0,111.0,1.0,1.0,1.0,88.0,92.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,113.0,1.0,1.0,1.0,1.0,1.0,88.0,87.0,1.0,86.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-03-10,583.0,432.0,1.0,136.0,172.0,153.0,1.0,152.0,165.0,132.0,131.0,1.0,150.0,146.0,137.0,1.0,1.0,125.0,1.0,1.0,1.0,1.0,114.0,1.0,1.0,1.0,201.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,134.0,1.0,1.0,1.0,1.0,1.0,1.0,144.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,187.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,122.0,122.0,1.0
2021-03-11,613.0,517.0,1.0,1.0,236.0,173.0,1.0,163.0,221.0,1.0,1.0,1.0,171.0,147.0,141.0,159.0,1.0,1.0,1.0,1.0,1.0,1.0,146.0,1.0,1.0,1.0,422.0,1.0,1.0,1.0,1.0,1.0,1.0,241.0,1.0,1.0,328.0,135.0,1.0,1.0,1.0,1.0,1.0,152.0,149.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,143.0,1.0,1.0,1.0,1.0,1.0,162.0,140.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-03-12,640.0,649.0,1.0,146.0,253.0,221.0,1.0,172.0,259.0,1.0,1.0,1.0,199.0,162.0,165.0,181.0,1.0,1.0,1.0,1.0,1.0,1.0,153.0,1.0,1.0,1.0,398.0,1.0,1.0,1.0,1.0,1.0,1.0,199.0,1.0,1.0,362.0,1.0,1.0,140.0,1.0,1.0,128.0,157.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,130.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,169.0
2021-03-13,611.0,2158.0,1.0,1.0,476.0,1.0,1.0,429.0,429.0,1.0,1.0,1.0,280.0,270.0,1.0,318.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,888.0,413.0,497.0,768.0,1.0,246.0,239.0,422.0,323.0,305.0,271.0,1.0,1.0,242.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,343.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-03-14,531.0,3038.0,1.0,1.0,611.0,362.0,1.0,668.0,595.0,1.0,1.0,1.0,366.0,1.0,331.0,432.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,968.0,877.0,788.0,750.0,485.0,464.0,415.0,406.0,351.0,329.0,323.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-03-15,586.0,1178.0,1.0,1.0,349.0,237.0,1.0,361.0,377.0,1.0,1.0,1.0,190.0,189.0,175.0,223.0,1.0,1.0,1.0,1.0,1.0,1.0,173.0,1.0,1.0,1.0,417.0,584.0,246.0,1.0,1.0,285.0,302.0,1.0,1.0,1.0,1.0,206.0,205.0,167.0,162.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-03-16,523.0,870.0,1.0,1.0,225.0,235.0,1.0,270.0,301.0,1.0,1.0,1.0,200.0,196.0,1.0,203.0,1.0,1.0,1.0,1.0,1.0,1.0,161.0,1.0,1.0,1.0,270.0,430.0,1.0,1.0,1.0,1.0,230.0,1.0,1.0,1.0,1.0,151.0,188.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,214.0,187.0,160.0,158.0,156.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-03-17,538.0,444.0,1.0,130.0,203.0,207.0,1.0,176.0,186.0,1.0,1.0,1.0,157.0,137.0,152.0,152.0,119.0,1.0,1.0,121.0,1.0,1.0,124.0,1.0,1.0,1.0,129.0,304.0,1.0,1.0,1.0,1.0,155.0,1.0,1.0,1.0,1.0,1.0,117.0,1.0,1.0,1.0,1.0,127.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,129.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2021-03-18,536.0,287.0,1.0,146.0,171.0,190.0,1.0,134.0,182.0,122.0,122.0,1.0,1.0,137.0,160.0,125.0,115.0,108.0,108.0,1.0,1.0,1.0,150.0,1.0,1.0,1.0,1.0,155.0,1.0,1.0,1.0,1.0,1.0,130.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,120.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,132.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
